Sex,Age,Current users of ad blockers,Past users of ad blockers,kab_1,kab_2,kab_3,kab_4,aoa_1,aoa_2,aoa_3,aoa_4,poa_1,poa_2,poa_3,poa_4,coa_1,coa_2,coa_3,coa_4,eoa_1,eoa_2,eoa_3,eoa_4,ioa_1,ioa_2,ioa_3,ioa_4,oac_1,oac_2,oac_3,oac_4
female,19,1,0,3,3,2,3,0,-1,-2,-3,-2,-3,-3,-3,-2,-2,-1,-2,3,0,0,2,3,3,0,3,3,3,3,2
male,34,0,0,-2,-2,0,0,-2,-2,-2,-3,-3,-2,-3,-3,-2,-2,-2,-2,-2,-3,-3,1,2,1,0,1,3,3,2,3
male,45,0,0,1,2,1,-2,-2,-2,-2,-2,0,-2,-2,-3,-3,-1,-1,-1,-3,-3,-3,0,2,1,0,2,3,3,3,3
female,61,0,0,-3,3,3,3,-2,0,1,0,0,-3,0,-2,-1,-2,-1,-1,1,0,3,3,1,1,-2,-2,0,-1,1,0
female,60,1,0,-3,0,3,0,-3,-2,-2,-3,-3,-3,-3,-3,0,-1,0,-3,1,-3,-3,2,3,3,2,2,3,3,3,3
male,27,1,0,2,2,2,-2,-1,-1,-3,-3,-3,-3,-3,-3,-1,-1,-1,-1,0,-2,-1,3,1,3,3,3,3,3,3,2
male,63,1,0,3,2,2,3,0,-1,-2,-2,0,-2,-2,-3,0,-1,0,-1,1,0,0,2,3,2,2,2,2,1,2,2
female,60,0,0,-3,0,0,0,0,-2,-2,-2,1,-1,0,2,0,-1,-1,0,-2,-3,0,2,3,3,2,2,0,0,0,0
male,72,1,0,2,2,3,3,1,1,1,0,0,0,-1,-1,1,-1,-1,0,1,1,1,3,1,1,1,1,1,-1,0,1
male,48,0,0,-3,-3,-2,-3,-2,-2,-2,-3,-2,-3,-2,-3,-2,-2,-2,-2,0,-1,-1,2,3,3,-2,2,3,3,2,3
male,56,0,1,-1,-1,-1,-1,0,0,-2,-2,-2,-3,-3,-3,0,0,0,0,0,0,0,3,3,3,3,3,3,2,2,2
female,33,0,0,-2,0,1,1,0,0,0,-1,-1,-2,-2,-2,2,0,0,1,1,-2,0,0,2,2,2,1,2,2,2,2
female,33,1,0,2,2,2,2,-1,-1,-1,-1,-1,-1,-3,-2,1,0,-1,0,0,-1,0,1,0,0,0,0,2,2,2,2
female,19,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,-2,0,-1,0,0,0,-1,0,0,1,1,0,1,2,2,2,2
male,43,0,0,2,2,2,2,-2,-2,-3,-2,-3,-3,-3,-3,1,-2,-2,-2,0,-3,0,2,2,3,3,3,3,3,3,3
male,64,0,0,-3,-3,0,0,-2,-2,-2,-3,-3,-3,-3,0,-2,0,-3,-3,1,-2,-2,1,2,2,1,2,2,2,3,2
male,67,0,0,-3,-3,-2,-2,0,1,1,1,0,-1,-2,-2,2,1,0,0,3,2,2,3,-2,-2,-3,-3,-1,1,-1,-2
female,63,0,0,-3,-3,0,0,-1,-1,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,0,-2,0,1,1,0,0,1,2,2,0,1
female,46,0,0,-3,-3,3,1,-3,-3,-3,-3,-3,-3,-3,-3,3,1,2,1,0,-3,3,3,3,3,3,3,3,3,3,3
female,28,1,0,2,3,3,2,-2,-3,-2,-3,-2,-2,-3,-3,1,1,0,0,1,-1,0,1,2,2,1,2,3,2,3,3
female,52,0,0,-2,0,2,-3,-3,-3,-3,-3,-2,-3,-3,-3,-2,-2,-2,-2,1,-3,-3,3,3,3,3,3,3,2,3,3
female,46,0,0,-1,2,2,2,-2,-2,-3,-3,-3,-3,-3,-3,0,-2,-2,-3,-1,-3,-3,-1,2,3,-2,3,3,3,3,3
female,29,1,0,1,2,3,2,0,0,0,0,-1,-1,0,-1,2,0,0,1,0,0,0,1,1,1,1,1,2,2,1,2
female,50,0,0,-2,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,1,2,2,2,2,2,2,2
female,51,0,0,-1,-1,0,0,1,1,0,0,-1,0,0,1,1,-1,-1,-1,2,0,1,2,2,1,0,0,-1,0,0,1
female,33,1,0,3,3,3,3,-1,-1,-2,-3,-3,-3,-3,-3,-1,-3,-3,-3,0,-1,1,3,3,3,1,3,3,3,3,3
male,22,1,0,2,3,3,3,0,0,-2,-2,0,1,-3,-2,0,-2,-2,-2,1,0,1,3,2,2,-2,2,2,2,2,2
female,26,1,0,2,2,2,2,0,1,1,0,-1,1,0,0,-2,-1,-1,-1,2,-1,1,2,3,3,2,2,-3,-2,-2,-3
male,41,0,0,-3,-3,-3,-3,-2,-2,-3,-3,-2,-3,-3,-3,1,-1,-1,-1,0,0,-2,1,3,2,1,2,2,2,2,2
male,34,1,0,1,2,2,2,1,1,-2,-1,-2,3,-2,-2,2,0,-1,-2,2,2,2,2,0,1,1,1,3,-2,3,3
male,45,0,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,0,0,0,0,1,1
male,61,0,0,-2,-2,-2,-2,-1,-1,-1,-1,-2,-2,-2,-3,0,0,0,0,-2,-2,0,2,1,1,1,1,2,2,2,2
male,25,0,0,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-2,-2,0,0,0,0,0,0,0,1,2,2,1,2,1,1,2,0
male,35,1,0,1,2,0,1,0,-1,-1,-2,-2,-3,-3,-3,-1,-1,-1,-2,0,-1,-2,2,3,2,1,1,2,-1,1,0
female,51,0,0,-1,-1,0,0,-1,-1,-1,-1,-2,-2,-2,-2,-1,-1,-1,-1,1,-2,0,0,2,2,2,2,3,3,3,3
male,28,1,0,1,2,2,0,-2,-2,1,2,-2,-3,-3,-2,-3,-1,-2,-2,-2,-2,1,1,2,1,1,1,3,2,3,3
female,37,0,0,0,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,1,-1,-1,-1,2,2,0,2,2,2,2,2,3,3,3,3
male,41,0,0,-2,1,1,0,-2,-2,-2,-2,-2,-3,-3,-3,-3,-1,-2,-2,2,-3,2,2,3,2,1,2,-3,-3,-3,-3
male,37,0,0,0,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,3,3,3,3,-3,-3,-3,-3
male,52,0,0,1,2,0,2,0,-1,0,-1,-2,-3,-1,-3,2,1,0,0,2,1,2,3,2,2,-1,2,2,2,2,2
female,24,0,0,-3,-1,2,2,0,-2,-1,-1,-3,-2,-3,-2,1,-2,-3,-1,1,0,0,2,2,2,2,2,3,2,3,3
female,55,0,0,-3,-3,-3,-3,1,0,-1,-2,-1,0,-1,-1,0,0,-2,-2,0,2,2,0,3,3,3,3,-3,-2,-3,-3
male,33,1,0,2,1,1,-2,-2,-3,-2,-2,-3,-3,-2,-1,1,-1,0,-1,-1,-1,0,1,1,1,0,0,2,3,3,2
male,70,0,0,-2,-2,-2,-2,1,1,1,1,1,1,2,2,1,1,1,1,0,0,1,0,1,1,0,0,1,1,-1,-1
male,46,1,0,2,1,1,0,-2,-2,-2,-3,-2,-3,-2,-2,1,-2,-2,-3,-2,-3,1,2,2,3,2,2,3,2,3,3
male,64,0,0,-2,0,0,0,-1,-2,-2,-2,-3,-3,-3,-3,-1,-2,-2,-3,1,0,1,2,2,1,0,1,2,3,2,3
female,39,0,0,1,0,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-1,-1,0,0,0,-2,0,1,2,1,2,2,2,3,3,3
female,44,0,0,-2,0,0,0,-1,-2,-2,-2,1,0,-1,-2,0,-1,-1,-1,-1,0,1,2,2,2,1,2,2,2,2,3
female,46,0,0,0,-3,1,-1,-1,-3,-3,-3,3,-3,-3,-3,-1,0,-2,-2,0,-2,0,2,3,3,3,3,3,3,3,3
male,48,1,0,3,3,3,3,1,-1,-2,-3,-2,-2,-2,-2,-3,-3,-3,-3,1,0,1,2,3,3,3,3,3,3,3,3
male,29,1,0,3,3,3,0,-3,-3,0,-3,-3,-3,-3,-1,-3,0,0,-2,0,-3,1,1,2,3,0,3,3,3,3,3
female,40,0,0,-3,0,0,0,1,0,0,1,1,0,-1,0,0,1,1,1,1,0,0,0,2,0,-1,-1,1,1,1,2
male,42,0,0,-2,-2,2,2,-1,0,-1,-3,-2,-2,-3,-2,-1,-1,-1,-1,1,0,2,2,2,2,1,2,3,2,3,3
male,40,1,0,2,2,2,2,0,-1,-1,-2,-1,-2,-2,-3,0,-2,-2,0,2,0,0,3,1,1,2,2,2,3,3,3
female,55,0,0,-1,-1,2,2,1,1,1,1,2,1,0,-1,1,0,0,0,2,1,2,3,2,2,0,2,3,3,3,3
male,52,1,0,1,1,1,0,-2,-2,-2,-2,-3,-3,-3,-3,-2,-2,-3,-2,-2,-2,-2,3,2,2,2,2,3,3,3,3
male,46,0,0,-3,-3,-3,-3,3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,1,2,2,0,2,2,0,2,2
male,51,0,1,2,2,2,2,-2,-2,-2,-3,0,-3,-3,-3,-2,-2,-2,-2,0,-3,-2,2,2,3,3,3,3,3,3,3
female,48,1,0,1,1,1,1,-1,-1,-1,-2,-2,-3,-3,-3,0,0,0,0,1,0,1,1,2,2,1,2,3,3,3,3
male,64,1,0,2,2,2,1,-1,-2,-2,-2,-3,-3,-3,-3,-2,-1,-1,-2,2,-2,2,2,2,3,3,3,2,2,3,2
female,48,0,1,2,2,2,2,0,-1,0,-1,-3,-3,-3,-3,0,0,-3,-3,0,-1,-3,0,3,3,-3,3,2,2,3,3
female,50,0,0,-3,-2,0,0,-1,-1,-2,-2,0,0,-2,-2,0,-1,-1,-1,0,0,0,1,3,3,2,1,2,2,2,2
male,69,0,0,-3,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,0,3,3,3,3,3,3,3,3
male,60,0,0,-3,-3,-3,-1,-3,-3,-3,-3,0,-3,-3,-3,-3,3,3,3,0,-3,0,0,3,3,1,3,3,0,3,3
female,68,0,0,-3,-3,-2,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-3,0,-3,-3,0,3,3,3,3,3,3,3,3
male,59,0,1,-2,2,2,2,1,1,0,0,-2,-1,-2,0,1,1,1,0,2,1,2,2,2,2,2,2,2,2,2,2
male,22,0,0,1,0,0,0,-1,-1,-1,-1,-1,1,-2,-3,1,0,-1,-2,0,-1,0,0,2,2,0,1,3,3,2,3
female,24,1,0,1,2,2,3,0,-1,-1,-2,0,1,-2,-2,-1,-2,-2,-2,2,-1,0,3,2,2,-2,2,2,1,2,2
female,33,1,0,3,3,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,0,-2,-2,-2,3,3,0,0,3,3,3,3
female,23,0,0,-3,-3,-3,-2,-1,-2,-2,-3,-2,-2,-2,-3,-1,-1,-2,-2,2,1,1,2,2,2,1,3,2,2,3,2
male,40,0,0,2,2,0,-3,0,-1,-2,-2,-2,-2,-3,-3,0,0,0,0,0,-1,1,1,2,2,1,2,3,3,3,3
male,28,1,0,2,3,2,0,-3,-3,-3,-3,-3,-2,-3,-3,-3,3,-3,-3,-2,-3,-3,-2,3,3,3,3,3,3,3,3
male,45,1,0,2,2,1,-1,1,1,1,0,-1,-1,-1,-1,1,1,1,2,0,0,1,2,1,-1,-1,-1,2,3,2,2
male,45,0,0,-3,0,0,0,-2,-2,-2,-3,-3,-2,0,-2,0,-2,-2,-2,0,-2,-1,1,2,0,0,2,2,2,3,2
male,64,1,0,3,3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,3,3,3,3,3,3,3,3
male,70,0,0,-3,0,0,0,-3,-3,-3,-3,-2,-2,-2,0,0,0,0,0,0,-2,0,0,0,0,0,0,2,2,2,2
male,71,0,0,-3,-3,3,0,-2,-2,-2,-2,-3,-3,-3,-3,-2,0,0,0,0,0,0,2,3,3,3,3,3,3,3,3
female,25,1,0,1,2,2,2,-2,-2,-2,-3,-3,-3,-3,-3,0,-2,-2,-2,-3,-3,-3,1,3,3,2,3,3,3,3,3
female,54,0,0,-3,1,2,0,0,0,0,0,-2,-2,-2,-2,0,-1,-1,-2,-1,-1,-1,0,2,2,0,2,1,1,2,3
