Sex,Age,Current users of ad blockers,Past users of ad blockers,kab_1,kab_2,kab_3,kab_4,aoa_1,aoa_2,aoa_3,aoa_4,poa_1,poa_2,poa_3,poa_4,coa_1,coa_2,coa_3,coa_4,eoa_1,eoa_2,eoa_3,eoa_4,ioa_1,ioa_2,ioa_3,ioa_4,oac_1,oac_2,oac_3,oac_4
female,17,0,0,-3,1,-2,-2,-1,-1,0,-1,-2,-1,-2,-2,1,-1,-2,-2,-1,-2,0,1,2,2,1,1,2,2,3,2
female,26,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,0,1,3,1,1,1,2,3,3,2,2
female,43,1,0,1,2,2,2,-2,-2,-2,-2,-2,-2,-3,-3,0,-2,-2,-2,0,-2,0,1,3,3,3,3,3,3,3,3
female,47,1,0,2,2,3,1,0,0,0,-3,-3,-3,-3,-3,1,0,0,0,-2,-1,1,1,3,3,0,0,3,2,2,3
male,49,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
female,37,0,0,-3,-3,-3,-3,-2,-1,-2,-3,-2,-2,-2,-3,1,0,0,-2,0,0,-1,2,3,3,2,0,3,2,2,2
male,43,0,1,1,2,0,2,1,2,2,0,1,0,0,0,2,1,0,1,2,0,1,3,2,1,1,2,1,2,1,1
male,37,1,0,3,3,3,1,0,0,0,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-3,-3,-1,3,3,3,3,3,3,3,3
male,53,0,0,2,3,3,3,-2,-3,-3,-3,-3,-2,-3,0,-3,-3,-2,-2,3,-2,0,3,3,2,2,3,3,2,3,3
male,37,1,0,3,3,3,3,0,1,-1,-1,-1,-1,-2,-2,0,1,0,0,1,0,1,1,-2,-2,-2,-2,1,1,1,2
female,39,0,0,-2,-2,-2,-2,0,-1,-2,-3,-2,-2,-3,-3,2,-2,0,-1,0,-2,2,3,2,3,2,3,3,3,3,3
female,25,1,0,2,2,2,-2,-2,-2,-2,-2,-3,-1,-2,-2,1,-1,-2,-2,1,0,1,1,2,2,-1,2,2,2,2,2
male,47,1,0,3,3,2,1,-2,-1,-2,-2,-2,-2,-2,-3,-3,-2,-3,-3,2,-2,-1,3,2,1,2,3,3,3,3,3
female,20,0,0,-2,1,1,0,-1,-1,-2,-2,-3,-3,-3,-3,1,-2,-2,-2,0,0,2,2,3,-2,2,2,2,2,3,2
female,29,0,1,0,2,1,0,-2,-1,-2,-3,-1,-3,-3,-3,-1,0,0,0,2,1,1,2,2,2,2,2,2,2,2,2
female,71,0,0,-3,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,2,0,-1,-2,0,-2,-2,0,2,2,2,2,3,3,3,2
male,33,0,0,-2,0,2,2,0,1,1,-1,-2,-3,-3,-3,2,0,0,0,0,-2,0,3,-2,-2,-3,-2,-2,-1,1,-1
male,62,0,0,-3,-3,-3,-3,0,-2,0,0,-2,-3,-3,-3,0,-2,-1,-1,0,-2,-2,2,2,2,0,0,2,2,0,0
female,50,0,0,-3,-3,-1,1,1,1,1,-1,0,-2,-1,-1,0,0,0,0,2,0,1,3,3,2,1,3,2,3,3,3
male,35,1,0,3,3,3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,1,3,3,1,3,3,3,3,3
female,46,0,0,-3,-3,3,3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-3,-3,-2,-3,-3,3,3,3,3,3,3,3,3,3
female,31,0,0,-1,1,1,0,-1,-1,-1,-2,-2,-1,-2,-2,-2,-1,-1,-1,1,-1,0,3,2,2,2,2,3,2,3,3
male,38,0,0,-3,0,0,0,0,0,0,-2,-2,-2,-2,-2,0,2,-2,0,0,0,0,2,3,3,3,1,3,3,3,3
female,28,1,0,2,2,3,0,-2,-2,-1,-3,-2,-3,-2,-2,0,-1,-1,-1,0,-1,1,1,1,3,0,3,1,2,3,2
male,39,0,0,-3,-2,0,0,-3,-3,-3,-3,-3,-3,-3,-3,3,-1,-2,-2,-3,-3,-3,1,3,3,3,3,-3,-3,-3,-3
